benchmark,raw_name,policy_id,variant,score,paper,found_in_paper,matches (Y/N/partial),notes
calvin,OpenVLA-OFT,openvlaoft,,3.917,https://arxiv.org/abs/2605.31234,,,
calvin,RoboUniview,robouniview,,3.65,https://arxiv.org/abs/2505.07817,,,
calvin,UnifiedVLA,unifiedvla,,,https://arxiv.org/abs/2511.18960,,,
libero,EO1 (reproduced),eo1,reproduction,93.1,https://arxiv.org/abs/2605.21414,,,
libero,MCC-Oracle,mccoracle,,,https://arxiv.org/abs/2607.23473,,,
libero,MolmoAct,molmoact,,86.8,https://arxiv.org/abs/2602.01166,,,
libero,PearlVLA + CRG-PRL (Ours),pearlvla+crgprl,ours,98.7,https://arxiv.org/abs/2606.17924,,,
libero,RynnVLA-002,rynnvla002,,97.4,https://arxiv.org/abs/2607.03461,,,
libero,SmolVLA,smolvla,,,https://arxiv.org/abs/2607.27933,,,
libero,UniVLA,univla,,94.0,https://arxiv.org/abs/2608.05970,,,
libero,UniVLA (Bridge),univla,bridge,92.5,https://arxiv.org/abs/2505.06111,,,
libero,VIPA-VLA (two-view),vipavla,two-view,96.8,https://arxiv.org/abs/2512.13080,,,
libero,VQ-VLA,vqvla,,,https://arxiv.org/abs/2606.21372,,,
libero_plus,OpenVLA*-One (zero-shot),openvla*one,zero-shot,19.4,https://arxiv.org/abs/2511.15605,,,
libero_plus,π0-Fast,pi0fast,,,https://arxiv.org/abs/2603.09542,,,
libero_pro,RATs,rats,,,https://arxiv.org/abs/2606.30613,,,
maniskill2,DINOv2,dinov2,,,https://arxiv.org/abs/2606.17256,,,
rlbench,Image-BC (CNN),imagebc,cnn,1.3,https://arxiv.org/abs/2506.07961,,,
rlbench,Structural Latent Points,structurallatentpoints,,,https://arxiv.org/abs/2605.21258,,,
robocasa,DUST (100 demos),dust,data-budget,,https://arxiv.org/abs/2510.27607,,,
robocasa,Early Fusion,earlyfusion,,,https://arxiv.org/abs/2605.24642,,,
robotwin_v1,Proposed Method (3D point cloud obs),proposedmethod,3d point cloud obs,,https://arxiv.org/abs/2606.19194,,,
robotwin_v2,AIM Stage1,aimstage1,,,https://arxiv.org/abs/2604.11135,,,
robotwin_v2,"Full-data fine-tuning (π0, joint)",fulldatafinetuning,finetune,,https://arxiv.org/abs/2606.16208,,,
robotwin_v2,InternVLA-A1.5 (Ours),internvlaa1.5,ours,,https://arxiv.org/abs/2607.04988,,,
simpler_env,FASTer w/o BAR,fasterw/obar,ablation,,https://arxiv.org/abs/2512.04952,,,
simpler_env,OpenVLA-OFT,openvlaoft,,,https://arxiv.org/abs/2605.24203,,,
simpler_env,RT-2-X,rt2x,,,https://arxiv.org/abs/2607.07076,,,
simpler_env,RoboVLMs,robovlm,,,https://arxiv.org/abs/2508.19236,,,
vlabench,π_0-FAST,pi0fast,,49.6,https://arxiv.org/abs/2607.15330,,,
