a,b,n,cross_benchmark,rho
calvin/__overall__,libero/__overall__,56,True,0.47
calvin/__overall__,libero/libero_10,59,True,0.5
calvin/__overall__,libero/libero_90,8,True,0.41
calvin/__overall__,libero/libero_goal,59,True,0.41
calvin/__overall__,libero/libero_object,54,True,0.39
calvin/__overall__,libero/libero_spatial,59,True,0.4
calvin/__overall__,libero_plus/__overall__,10,True,0.56
calvin/__overall__,libero_plus/background,11,True,0.48
calvin/__overall__,libero_plus/camera,10,True,0.6
calvin/__overall__,libero_plus/language,10,True,0.59
calvin/__overall__,libero_plus/layout,10,True,0.5
calvin/__overall__,libero_plus/light,11,True,0.52
calvin/__overall__,libero_plus/noise,11,True,0.32
calvin/__overall__,libero_plus/robot,10,True,0.61
calvin/__overall__,robocasa/panda,9,True,0.82
calvin/__overall__,robotwin_v2/easy,12,True,0.21
calvin/__overall__,robotwin_v2/hard,9,True,0.58
calvin/__overall__,simpler_env/google_robot_va,14,True,0.47
calvin/__overall__,simpler_env/google_robot_vm,17,True,0.38
calvin/__overall__,simpler_env/widowx_vm,18,True,0.44
kinetix/d0,kinetix/d1,8,False,0.32
kinetix/d0,kinetix/d2,8,False,0.2
kinetix/d0,kinetix/d3,8,False,0.16
kinetix/d0,kinetix/d4,8,False,0.16
kinetix/d1,kinetix/d2,8,False,0.76
kinetix/d1,kinetix/d3,8,False,0.84
kinetix/d1,kinetix/d4,8,False,0.84
kinetix/d2,kinetix/d3,8,False,0.98
kinetix/d2,kinetix/d4,8,False,0.98
kinetix/d3,kinetix/d4,8,False,1.0
libero/__overall__,libero/libero_10,509,False,0.96
libero/__overall__,libero/libero_90,36,False,0.59
libero/__overall__,libero/libero_goal,505,False,0.94
libero/__overall__,libero/libero_object,481,False,0.89
libero/__overall__,libero/libero_spatial,508,False,0.9
libero/__overall__,libero_plus/__overall__,58,True,0.43
libero/__overall__,libero_plus/background,61,True,0.27
libero/__overall__,libero_plus/camera,58,True,0.19
libero/__overall__,libero_plus/language,60,True,0.59
libero/__overall__,libero_plus/layout,60,True,0.52
libero/__overall__,libero_plus/light,61,True,0.57
libero/__overall__,libero_plus/noise,59,True,0.23
libero/__overall__,libero_plus/robot,59,True,0.62
libero/__overall__,libero_pro/object_pos,8,True,0.41
libero/__overall__,libero_pro/object_task,8,True,0.51
libero/__overall__,libero_pro/spatial_pos,8,True,0.73
libero/__overall__,libero_pro/spatial_task,8,True,-0.36
libero/__overall__,mikasa/__overall__,8,True,0.69
libero/__overall__,robocasa/gr1,20,True,0.56
libero/__overall__,robocasa/panda,28,True,0.52
libero/__overall__,robotwin_v2/easy,45,True,0.47
libero/__overall__,robotwin_v2/hard,43,True,0.56
libero/__overall__,simpler_env/google_robot_va,44,True,0.61
libero/__overall__,simpler_env/google_robot_vm,52,True,0.66
libero/__overall__,simpler_env/widowx_vm,66,True,0.65
libero/libero_10,libero/libero_90,43,False,0.68
libero/libero_10,libero/libero_goal,517,False,0.88
libero/libero_10,libero/libero_object,494,False,0.84
libero/libero_10,libero/libero_spatial,521,False,0.83
libero/libero_10,libero_plus/__overall__,58,True,0.45
libero/libero_10,libero_plus/background,61,True,0.27
libero/libero_10,libero_plus/camera,58,True,0.25
libero/libero_10,libero_plus/language,60,True,0.59
libero/libero_10,libero_plus/layout,60,True,0.55
libero/libero_10,libero_plus/light,61,True,0.54
libero/libero_10,libero_plus/noise,59,True,0.24
libero/libero_10,libero_plus/robot,59,True,0.66
libero/libero_10,libero_pro/object_pos,8,True,0.4
libero/libero_10,libero_pro/object_task,8,True,0.51
libero/libero_10,libero_pro/spatial_pos,8,True,0.76
libero/libero_10,libero_pro/spatial_task,8,True,-0.24
libero/libero_10,mikasa/__overall__,8,True,0.69
libero/libero_10,robocasa/gr1,20,True,0.57
libero/libero_10,robocasa/panda,32,True,0.51
libero/libero_10,robotwin_v2/easy,46,True,0.53
libero/libero_10,robotwin_v2/hard,44,True,0.55
libero/libero_10,simpler_env/google_robot_va,44,True,0.65
libero/libero_10,simpler_env/google_robot_vm,52,True,0.65
libero/libero_10,simpler_env/widowx_vm,68,True,0.66
libero/libero_90,libero/libero_goal,38,False,0.62
libero/libero_90,libero/libero_object,37,False,0.62
libero/libero_90,libero/libero_spatial,41,False,0.56
libero/libero_90,simpler_env/google_robot_va,8,True,0.38
libero/libero_90,simpler_env/google_robot_vm,8,True,0.5
libero/libero_90,simpler_env/widowx_vm,8,True,0.57
libero/libero_goal,libero/libero_object,501,False,0.83
libero/libero_goal,libero/libero_spatial,527,False,0.85
libero/libero_goal,libero_plus/__overall__,58,True,0.47
libero/libero_goal,libero_plus/background,61,True,0.43
libero/libero_goal,libero_plus/camera,58,True,0.2
libero/libero_goal,libero_plus/language,60,True,0.6
libero/libero_goal,libero_plus/layout,60,True,0.54
libero/libero_goal,libero_plus/light,61,True,0.64
libero/libero_goal,libero_plus/noise,59,True,0.29
libero/libero_goal,libero_plus/robot,59,True,0.5
libero/libero_goal,mikasa/__overall__,8,True,0.64
libero/libero_goal,robocasa/gr1,20,True,0.46
libero/libero_goal,robocasa/panda,29,True,0.56
libero/libero_goal,robotwin_v2/easy,43,True,0.41
libero/libero_goal,robotwin_v2/hard,42,True,0.43
libero/libero_goal,simpler_env/google_robot_va,44,True,0.48
libero/libero_goal,simpler_env/google_robot_vm,52,True,0.55
libero/libero_goal,simpler_env/widowx_vm,68,True,0.62
libero/libero_object,libero/libero_spatial,511,False,0.8
libero/libero_object,libero_plus/__overall__,55,True,0.5
libero/libero_object,libero_plus/background,58,True,0.42
libero/libero_object,libero_plus/camera,55,True,0.3
libero/libero_object,libero_plus/language,57,True,0.57
libero/libero_object,libero_plus/layout,57,True,0.55
libero/libero_object,libero_plus/light,58,True,0.64
libero/libero_object,libero_plus/noise,56,True,0.26
libero/libero_object,libero_plus/robot,56,True,0.58
libero/libero_object,libero_pro/object_pos,11,True,0.05
libero/libero_object,libero_pro/object_task,12,True,0.33
libero/libero_object,libero_pro/spatial_pos,9,True,0.32
libero/libero_object,libero_pro/spatial_task,9,True,0.13
libero/libero_object,robocasa/gr1,20,True,0.48
libero/libero_object,robocasa/panda,26,True,0.55
libero/libero_object,robotwin_v2/easy,43,True,0.59
libero/libero_object,robotwin_v2/hard,42,True,0.62
libero/libero_object,simpler_env/google_robot_va,42,True,0.59
libero/libero_object,simpler_env/google_robot_vm,50,True,0.54
libero/libero_object,simpler_env/widowx_vm,65,True,0.6
libero/libero_spatial,libero_plus/__overall__,58,True,0.42
libero/libero_spatial,libero_plus/background,61,True,0.24
libero/libero_spatial,libero_plus/camera,58,True,0.22
libero/libero_spatial,libero_plus/language,60,True,0.54
libero/libero_spatial,libero_plus/layout,60,True,0.48
libero/libero_spatial,libero_plus/light,61,True,0.53
libero/libero_spatial,libero_plus/noise,59,True,0.22
libero/libero_spatial,libero_plus/robot,59,True,0.61
libero/libero_spatial,libero_pro/object_pos,10,True,-0.02
libero/libero_spatial,libero_pro/object_task,10,True,0.3
libero/libero_spatial,libero_pro/spatial_pos,10,True,0.56
libero/libero_spatial,libero_pro/spatial_task,10,True,-0.12
libero/libero_spatial,mikasa/__overall__,8,True,0.69
libero/libero_spatial,robocasa/gr1,20,True,0.2
libero/libero_spatial,robocasa/panda,29,True,0.49
libero/libero_spatial,robotwin_v2/easy,45,True,0.45
libero/libero_spatial,robotwin_v2/hard,43,True,0.42
libero/libero_spatial,simpler_env/google_robot_va,44,True,0.5
libero/libero_spatial,simpler_env/google_robot_vm,51,True,0.62
libero/libero_spatial,simpler_env/widowx_vm,67,True,0.59
libero_plus/__overall__,libero_plus/background,81,False,0.69
libero_plus/__overall__,libero_plus/camera,81,False,0.82
libero_plus/__overall__,libero_plus/language,81,False,0.66
libero_plus/__overall__,libero_plus/layout,81,False,0.82
libero_plus/__overall__,libero_plus/light,81,False,0.81
libero_plus/__overall__,libero_plus/noise,81,False,0.83
libero_plus/__overall__,libero_plus/robot,81,False,0.69
libero_plus/__overall__,robocasa/panda,8,True,0.48
libero_plus/__overall__,robotwin_v2/easy,19,True,0.25
libero_plus/__overall__,robotwin_v2/hard,17,True,0.17
libero_plus/__overall__,simpler_env/google_robot_va,15,True,0.51
libero_plus/__overall__,simpler_env/google_robot_vm,17,True,0.49
libero_plus/__overall__,simpler_env/widowx_vm,22,True,0.56
libero_plus/background,libero_plus/camera,82,False,0.46
libero_plus/background,libero_plus/language,86,False,0.59
libero_plus/background,libero_plus/layout,86,False,0.62
libero_plus/background,libero_plus/light,88,False,0.73
libero_plus/background,libero_plus/noise,84,False,0.56
libero_plus/background,libero_plus/robot,83,False,0.46
libero_plus/background,robocasa/panda,8,True,0.24
libero_plus/background,robotwin_v2/easy,19,True,-0.03
libero_plus/background,robotwin_v2/hard,17,True,-0.1
libero_plus/background,simpler_env/google_robot_va,15,True,0.55
libero_plus/background,simpler_env/google_robot_vm,17,True,0.59
libero_plus/background,simpler_env/widowx_vm,22,True,0.69
libero_plus/camera,libero_plus/language,82,False,0.39
libero_plus/camera,libero_plus/layout,82,False,0.59
libero_plus/camera,libero_plus/light,82,False,0.58
libero_plus/camera,libero_plus/noise,82,False,0.81
libero_plus/camera,libero_plus/robot,82,False,0.35
libero_plus/camera,robocasa/panda,8,True,0.62
libero_plus/camera,robotwin_v2/easy,19,True,0.26
libero_plus/camera,robotwin_v2/hard,17,True,0.25
libero_plus/camera,simpler_env/google_robot_va,15,True,0.23
libero_plus/camera,simpler_env/google_robot_vm,17,True,0.06
libero_plus/camera,simpler_env/widowx_vm,22,True,0.26
libero_plus/language,libero_plus/layout,86,False,0.68
libero_plus/language,libero_plus/light,86,False,0.71
libero_plus/language,libero_plus/noise,82,False,0.44
libero_plus/language,libero_plus/robot,83,False,0.58
libero_plus/language,robocasa/panda,8,True,0.6
libero_plus/language,robotwin_v2/easy,19,True,0.22
libero_plus/language,robotwin_v2/hard,17,True,0.09
libero_plus/language,simpler_env/google_robot_va,15,True,0.47
libero_plus/language,simpler_env/google_robot_vm,17,True,0.62
libero_plus/language,simpler_env/widowx_vm,22,True,0.68
libero_plus/layout,libero_plus/light,86,False,0.79
libero_plus/layout,libero_plus/noise,82,False,0.58
libero_plus/layout,libero_plus/robot,83,False,0.74
libero_plus/layout,robocasa/panda,8,True,0.19
libero_plus/layout,robotwin_v2/easy,19,True,0.33
libero_plus/layout,robotwin_v2/hard,17,True,0.2
libero_plus/layout,simpler_env/google_robot_va,15,True,0.31
libero_plus/layout,simpler_env/google_robot_vm,17,True,0.39
libero_plus/layout,simpler_env/widowx_vm,22,True,0.44
libero_plus/light,libero_plus/noise,84,False,0.7
libero_plus/light,libero_plus/robot,83,False,0.58
libero_plus/light,robocasa/panda,8,True,0.48
libero_plus/light,robotwin_v2/easy,19,True,0.29
libero_plus/light,robotwin_v2/hard,17,True,0.21
libero_plus/light,simpler_env/google_robot_va,15,True,0.42
libero_plus/light,simpler_env/google_robot_vm,17,True,0.61
libero_plus/light,simpler_env/widowx_vm,22,True,0.61
libero_plus/noise,libero_plus/robot,82,False,0.34
libero_plus/noise,robocasa/panda,8,True,0.38
libero_plus/noise,robotwin_v2/easy,19,True,0.09
libero_plus/noise,robotwin_v2/hard,17,True,0.05
libero_plus/noise,simpler_env/google_robot_va,15,True,0.26
libero_plus/noise,simpler_env/google_robot_vm,17,True,0.13
libero_plus/noise,simpler_env/widowx_vm,22,True,0.28
libero_plus/robot,robocasa/panda,8,True,0.38
libero_plus/robot,robotwin_v2/easy,19,True,0.54
libero_plus/robot,robotwin_v2/hard,17,True,0.36
libero_plus/robot,simpler_env/google_robot_va,15,True,0.69
libero_plus/robot,simpler_env/google_robot_vm,17,True,0.67
libero_plus/robot,simpler_env/widowx_vm,22,True,0.72
libero_pro/goal_pos,libero_pro/goal_task,11,False,0.9
libero_pro/goal_pos,libero_pro/object_pos,11,False,0.73
libero_pro/goal_pos,libero_pro/object_task,9,False,0.5
libero_pro/goal_pos,libero_pro/spatial_pos,11,False,0.85
libero_pro/goal_pos,libero_pro/spatial_task,10,False,0.47
libero_pro/goal_task,libero_pro/long_task,9,False,0.73
libero_pro/goal_task,libero_pro/object_pos,12,False,0.65
libero_pro/goal_task,libero_pro/object_task,12,False,0.62
libero_pro/goal_task,libero_pro/spatial_pos,12,False,0.63
libero_pro/goal_task,libero_pro/spatial_task,13,False,0.72
libero_pro/object_pos,libero_pro/object_task,17,False,0.89
libero_pro/object_pos,libero_pro/spatial_pos,18,False,0.65
libero_pro/object_pos,libero_pro/spatial_task,15,False,0.33
libero_pro/object_task,libero_pro/spatial_pos,15,False,0.51
libero_pro/object_task,libero_pro/spatial_task,18,False,0.51
libero_pro/spatial_pos,libero_pro/spatial_task,15,False,0.51
robocasa/gr1,robocasa/panda,8,False,0.71
robocasa/gr1,robotwin_v2/easy,14,True,0.76
robocasa/gr1,robotwin_v2/hard,14,True,0.78
robocasa/gr1,simpler_env/google_robot_vm,9,True,0.54
robocasa/gr1,simpler_env/widowx_vm,13,True,0.58
robocasa/panda,simpler_env/google_robot_va,8,True,0.43
robocasa/panda,simpler_env/google_robot_vm,17,True,0.83
robocasa/panda,simpler_env/widowx_vm,17,True,0.8
robocerebra/__overall__,robocerebra/ideal,9,False,0.88
robocerebra/__overall__,robocerebra/memory_execution,9,False,0.93
robocerebra/__overall__,robocerebra/memory_exploration,9,False,0.8
robocerebra/__overall__,robocerebra/mix,8,False,0.69
robocerebra/__overall__,robocerebra/observation_mismatching,9,False,0.88
robocerebra/__overall__,robocerebra/random_disturbance,9,False,0.9
robocerebra/ideal,robocerebra/memory_execution,9,False,0.87
robocerebra/ideal,robocerebra/memory_exploration,9,False,0.55
robocerebra/ideal,robocerebra/mix,8,False,0.52
robocerebra/ideal,robocerebra/observation_mismatching,9,False,1.0
robocerebra/ideal,robocerebra/random_disturbance,9,False,1.0
robocerebra/memory_execution,robocerebra/memory_exploration,9,False,0.72
robocerebra/memory_execution,robocerebra/mix,8,False,0.79
robocerebra/memory_execution,robocerebra/observation_mismatching,9,False,0.87
robocerebra/memory_execution,robocerebra/random_disturbance,9,False,0.88
robocerebra/memory_exploration,robocerebra/mix,8,False,0.76
robocerebra/memory_exploration,robocerebra/observation_mismatching,9,False,0.55
robocerebra/memory_exploration,robocerebra/random_disturbance,9,False,0.56
robocerebra/mix,robocerebra/observation_mismatching,8,False,0.52
robocerebra/mix,robocerebra/random_disturbance,8,False,0.54
robocerebra/observation_mismatching,robocerebra/random_disturbance,9,False,1.0
robomme/__overall__,robomme/counting,22,False,0.95
robomme/__overall__,robomme/imitation,22,False,0.94
robomme/__overall__,robomme/permanence,22,False,0.7
robomme/__overall__,robomme/reference,22,False,0.93
robomme/counting,robomme/imitation,22,False,0.9
robomme/counting,robomme/permanence,22,False,0.61
robomme/counting,robomme/reference,22,False,0.84
robomme/imitation,robomme/permanence,22,False,0.61
robomme/imitation,robomme/reference,22,False,0.88
robomme/permanence,robomme/reference,22,False,0.6
robotwin_v2/easy,robotwin_v2/hard,101,False,0.95
simpler_env/google_robot_va,simpler_env/google_robot_vm,70,False,0.82
simpler_env/google_robot_va,simpler_env/widowx_vm,51,False,0.57
simpler_env/google_robot_vm,simpler_env/widowx_vm,65,False,0.78
