a,b,n,rho,lo,hi
libero/libero_10,simpler_env/widowx_vm,68,0.66,0.49,0.8
libero/libero_goal,simpler_env/widowx_vm,68,0.62,0.45,0.75
libero/libero_spatial,simpler_env/widowx_vm,67,0.59,0.4,0.73
libero/__overall__,simpler_env/widowx_vm,66,0.65,0.48,0.78
libero/libero_object,simpler_env/widowx_vm,65,0.6,0.4,0.74
libero/libero_10,libero_plus/light,61,0.54,0.28,0.72
libero/libero_goal,libero_plus/light,61,0.64,0.42,0.8
libero/libero_spatial,libero_plus/background,61,0.24,-0.05,0.49
libero/libero_spatial,libero_plus/light,61,0.53,0.29,0.7
libero/__overall__,libero_plus/background,61,0.27,-0.02,0.52
libero/libero_10,libero_plus/background,61,0.27,-0.01,0.51
libero/__overall__,libero_plus/light,61,0.57,0.34,0.76
libero/libero_goal,libero_plus/background,61,0.43,0.18,0.65
libero/__overall__,libero_plus/layout,60,0.52,0.27,0.71
libero/__overall__,libero_plus/language,60,0.59,0.37,0.77
libero/libero_10,libero_plus/layout,60,0.55,0.3,0.73
libero/libero_spatial,libero_plus/language,60,0.54,0.33,0.72
libero/libero_goal,libero_plus/language,60,0.6,0.38,0.77
libero/libero_spatial,libero_plus/layout,60,0.48,0.24,0.67
libero/libero_goal,libero_plus/layout,60,0.54,0.3,0.72
libero/libero_10,libero_plus/language,60,0.59,0.35,0.75
libero/libero_goal,libero_plus/robot,59,0.5,0.25,0.7
libero/libero_10,libero_plus/robot,59,0.66,0.47,0.79
libero/libero_goal,libero_plus/noise,59,0.29,0.01,0.53
calvin/__overall__,libero/libero_10,59,0.5,0.23,0.71
calvin/__overall__,libero/libero_goal,59,0.41,0.1,0.65
libero/libero_10,libero_plus/noise,59,0.24,-0.02,0.49
libero/libero_spatial,libero_plus/noise,59,0.22,-0.06,0.46
libero/libero_spatial,libero_plus/robot,59,0.61,0.44,0.75
libero/__overall__,libero_plus/robot,59,0.62,0.42,0.78
calvin/__overall__,libero/libero_spatial,59,0.4,0.11,0.63
libero/__overall__,libero_plus/noise,59,0.23,-0.04,0.48
libero/__overall__,libero_plus/__overall__,58,0.43,0.15,0.65
libero/libero_goal,libero_plus/camera,58,0.2,-0.08,0.46
libero/__overall__,libero_plus/camera,58,0.19,-0.1,0.46
libero/libero_10,libero_plus/__overall__,58,0.45,0.18,0.65
libero/libero_10,libero_plus/camera,58,0.25,-0.02,0.51
libero/libero_goal,libero_plus/__overall__,58,0.47,0.21,0.68
