policy_id,benchmark,n_papers,mean,sd,lo,hi,spread
openvla,libero,18,74.58333333333333,11.171879087823193,35.6,97.0,61.4
diffusionpolicy,libero,11,68.66363636363636,17.251044764145313,17.2,77.8,60.599999999999994
pi0,libero,48,90.09895833333333,9.8619971736736,37.4,96.8,59.4
openvlaoft,libero,27,91.83703703703704,10.274469784116809,48.9,97.3,48.4
pi0.5,vlabench,3,42.833333333333336,18.963737325045752,24.3,62.2,37.900000000000006
vlaadapter,libero,8,92.2625,10.991936979960748,65.3,98.4,33.10000000000001
smolvla,libero,8,82.4875,11.138278592313982,63.5,95.8,32.3
pi0fast,libero,28,85.77857142857144,3.523608960401274,71.8,93.4,21.60000000000001
pi0.5,libero_plus,10,82.16,7.0479626685857095,65.0,86.5,21.5
gr00tn1,libero,7,91.74285714285715,6.77590268103499,76.5,96.2,19.700000000000003
mail,libero,3,74.86666666666667,10.969655114602892,62.2,81.2,19.0
lapa,libero,3,71.56666666666666,10.334569818494304,65.6,83.5,17.900000000000006
gr00tn1.5,libero,9,90.94444444444444,5.99418699889967,78.1,95.8,17.700000000000003
spatialvla,libero,7,80.44285714285715,6.154634335971862,78.1,94.4,16.30000000000001
pi0,libero_plus,10,63.45,7.736098643516781,56.1,72.3,16.199999999999996
octo,libero,7,73.1,5.33604097935289,61.0,75.2,14.200000000000003
nora,libero,4,82.675,6.729227295908508,73.8,87.9,14.100000000000009
pi0.5,libero,40,95.98625,2.140003220103014,86.8,97.9,11.100000000000009
uniact,libero,3,74.2,6.235382907247958,67.0,77.8,10.799999999999997
dita,libero,5,86.32000000000001,5.3676810635506245,82.4,92.2,9.799999999999997
vlarl,libero,3,83.86666666666666,4.965212315030778,81.0,89.6,8.599999999999994
quest,libero,3,83.8,4.355456348076511,80.1,88.6,8.5
simplevlarl,libero,4,96.55,3.7287173844813317,91.2,99.2,8.0
peract,rlbench,5,46.82,3.5329874044496674,42.9,49.4,6.5
cogact,libero,6,92.64999999999999,1.9388140705080517,88.7,93.5,4.799999999999997
worldvla,libero,5,80.66,1.9793938466106225,78.1,82.6,4.5
rvt2,rlbench,6,80.2,1.767484087622858,77.0,81.4,4.400000000000006
gr00t,libero,4,93.475,2.0022903552348916,92.0,96.4,4.400000000000006
xvla,libero,5,97.25999999999999,1.7672011770027765,94.1,98.1,4.0
4dvla,libero,3,89.73333333333333,2.1361959960016192,88.5,92.2,3.700000000000003
openvlaoft,libero_plus,4,72.65,1.6583123951777,71.4,74.9,3.5
roboflamingo,calvin,10,2.6550000000000002,0.9216440624111771,0.83,4.09,3.26
mdt,calvin,3,2.5366666666666666,1.7176243283481205,1.54,4.52,2.9799999999999995
openvla,calvin,6,2.2746666666666666,1.302954591176019,0.39,3.27,2.88
llavavla,calvin,3,2.3400000000000003,1.2520383380711633,1.2,3.68,2.4800000000000004
cosmospolicy,libero_plus,3,82.26666666666667,1.357694123627746,80.7,83.1,2.3999999999999915
hulc,calvin,4,1.6275,1.1351468333803048,0.67,2.9,2.23
grmg,calvin,5,3.5814,0.8282631224435866,2.2,4.2,2.0
gr00tn1.6,libero,3,96.33333333333333,1.1547005383792495,95.0,97.0,2.0
pi0.5,calvin,6,3.7573333333333334,0.697115102882348,2.38,4.313,1.9329999999999998
pi0,calvin,6,3.4309999999999996,0.7132382491145579,2.01,3.92,1.9100000000000001
cotvla,libero,7,83.75714285714287,0.6579187965525405,82.3,84.2,1.9000000000000057
act3d,rlbench,4,64.1,1.0392304845413234,63.2,65.0,1.7999999999999972
dp3,calvin,3,0.8733333333333334,0.9757219549304675,0.31,2.0,1.69
rt1,calvin,4,1.675,0.8948929172439201,0.9,2.45,1.5500000000000003
molmoact,libero,7,86.62857142857142,0.4535573676110735,85.6,86.8,1.2000000000000028
flower,libero,3,96.10000000000001,0.6928203230275516,95.7,96.9,1.2000000000000028
mcil,calvin,4,0.6475,0.5566192594583841,0.31,1.48,1.17
gr1,calvin,4,3.6975000000000002,0.6005206074732157,3.06,4.21,1.15
mode,calvin,6,3.9166666666666665,0.4519144461805426,3.39,4.4,1.0100000000000002
grape,libero,4,79.95,0.4999999999999988,79.2,80.2,1.0
vpp,calvin,4,4.1475,0.38055879966176054,3.58,4.39,0.8099999999999996
pi0.5ki,libero,3,94.03333333333335,0.461880215351699,93.5,94.3,0.7999999999999972
rvt,rlbench,4,62.725,0.3499999999999985,62.2,62.9,0.6999999999999957
ddvla,libero,4,96.2,0.270801280154535,95.8,96.4,0.6000000000000085
memoryvla,libero,4,96.55,0.3000000000000031,96.1,96.7,0.6000000000000085
seerlarge,calvin,3,4.107666666666667,0.3010919018062982,3.76,4.283,0.5230000000000006
fastwam,libero_plus,5,51.3,0.22360679774997907,50.9,51.4,0.5
polarnet,rlbench,3,46.26666666666667,0.23094010767584744,46.0,46.4,0.3999999999999986
worldvla,libero_plus,3,25.733333333333334,0.2309401076758495,25.6,26.0,0.3999999999999986
upvla,calvin,4,4.25,0.19629909152447267,4.08,4.42,0.33999999999999986
seer,calvin,3,4.183333333333334,0.17616280348965102,3.98,4.29,0.31000000000000005
hiveformer,rlbench,3,45.199999999999996,0.1732050807568866,45.0,45.3,0.29999999999999716
fastwam,libero,4,97.44999999999999,0.17320508075688335,97.3,97.6,0.29999999999999716
