cell,n_papers,n_distinct,redundancy,modal_share,all_identical,frac_off_median
pi0/libero,48,23,0.521,0.271,False,0.312
pi0.5/libero,40,20,0.5,0.35,False,0.15
pi0fast/libero,28,6,0.786,0.821,False,0.143
openvlaoft/libero,27,21,0.222,0.111,False,0.296
openvla/libero,18,12,0.333,0.389,False,0.278
diffusionpolicy/libero,11,7,0.364,0.364,False,0.545
pi0.5/libero_plus,10,9,0.1,0.2,False,0.3
pi0/libero_plus,10,5,0.5,0.4,False,1.0
gr00tn1.5/libero,9,7,0.222,0.222,False,0.333
vlaadapter/libero,8,7,0.125,0.25,False,0.25
smolvla/libero,8,6,0.25,0.375,False,0.5
molmoact/libero,7,2,0.714,0.857,False,0.0
spatialvla/libero,7,3,0.571,0.714,False,0.143
cotvla/libero,7,3,0.571,0.571,False,0.0
gr00tn1/libero,7,3,0.571,0.714,False,0.286
octo/libero,7,4,0.429,0.429,False,0.143
cogact/libero,6,3,0.5,0.667,False,0.167
tracevla/libero,6,1,0.833,1.0,True,0.0
rvt2/rlbench,6,4,0.333,0.5,False,0.167
pi0fast/libero_plus,6,1,0.833,1.0,True,0.0
fastwam/libero_plus,5,2,0.6,0.8,False,0.0
dita/libero,5,2,0.6,0.6,False,0.4
peract/rlbench,5,3,0.4,0.6,False,0.4
worldvla/libero,5,4,0.2,0.4,False,0.4
xvla/libero,5,3,0.4,0.4,False,0.2
